rainfall_mm,slope_deg,elevation_m,soil_moisture,historical_events,infrastructure_density,landslide_risk
155.1,44.63,4426.66,37.0,8,85.85,1
64.64,18.99,4694.86,18.67,11,33.47,1
168.11,56.25,1788.57,11.79,1,35.11,0
194.96,34.61,5396.87,35.61,5,67.32,1
220.96,53.93,2405.35,35.79,10,95.66,0
126.54,38.68,2523.86,91.64,1,16.2,1
95.06,21.02,1837.36,68.02,4,88.77,0
156.28,29.77,1336.59,86.88,2,72.78,0
282.13,43.54,900.32,25.02,1,9.56,1
231.28,33.82,5480.07,19.35,9,15.53,0
265.64,22.02,1736.98,35.58,10,12.64,1
107.05,55.34,4821.21,52.05,8,93.49,1
40.53,57.17,3196.44,63.17,7,63.1,1
191.86,22.03,2235.84,58.57,12,8.96,1
123.66,13.56,552.78,57.1,12,84.79,1
276.63,57.08,2885.34,10.82,6,79.8,1
239.03,35.15,1442.85,89.39,6,39.48,1
113.51,19.46,2611.2,31.56,12,80.0,1
208.18,19.95,3742.29,57.87,4,41.29,1
191.07,38.98,1860.67,66.05,3,32.06,1
290.91,6.22,5361.66,35.39,2,71.52,1
148.07,23.81,2057.88,81.95,5,46.37,0
99.07,51.4,5258.22,15.04,12,39.24,0
75.02,25.99,563.08,97.71,11,24.9,0
132.89,45.57,667.55,51.48,12,9.4,1
288.36,56.49,1293.06,75.54,11,93.74,1
75.99,40.12,1493.62,89.88,10,21.78,1
50.21,20.19,1098.25,81.02,0,96.88,0
207.23,42.86,1274.96,79.37,3,15.77,0
299.09,39.38,798.88,68.01,11,53.64,1
146.35,22.42,3291.75,68.02,5,80.55,0
107.45,12.41,4993.32,53.68,7,55.9,1
147.03,36.17,3218.1,39.13,7,27.53,1
20.66,13.53,1978.36,33.7,5,45.41,0
151.79,45.35,4914.66,65.78,5,77.6,0
161.69,26.31,3120.35,54.78,8,15.41,1
122.94,22.71,981.28,69.3,0,83.52,1
145.61,10.43,3355.06,85.27,10,48.99,1
177.09,7.7,1603.61,74.61,0,93.02,0
23.99,49.06,803.5,60.22,6,82.2,0
17.49,38.93,3145.1,76.09,4,7.79,1
69.31,26.19,1465.6,69.12,9,62.53,1
224.76,27.84,1027.57,67.48,5,67.45,1
237.74,35.25,3023.46,69.18,8,99.84,1
105.7,22.33,5457.31,39.22,5,41.23,1
72.22,35.01,2375.32,59.52,11,25.41,0
134.25,26.84,4131.57,98.47,9,1.63,1
295.32,16.82,2074.52,79.44,11,82.23,0
153.38,36.39,3358.06,18.49,7,35.57,1
69.9,49.61,959.53,45.98,3,73.43,0
237.87,14.51,4628.53,72.06,9,81.95,1
242.5,25.99,4400.61,92.97,5,34.79,0
124.96,52.73,4848.93,30.4,10,84.95,1
16.24,33.84,2096.58,60.84,5,50.24,1
15.16,45.24,2464.41,50.11,9,57.53,0
44.4,23.49,2879.27,77.08,8,39.92,1
150.55,47.56,1151.88,22.14,8,19.81,0
299.12,33.83,1711.58,33.96,6,32.34,0
26.88,41.95,2617.7,41.35,5,34.45,1
104.91,50.19,4513.98,66.09,7,4.49,0
59.91,25.56,4288.67,86.75,1,73.96,1
249.73,20.82,2216.36,82.39,4,45.01,1
62.7,34.59,1519.01,57.09,4,54.88,0
200.48,25.71,5030.2,57.41,4,17.03,1
236.76,38.99,765.43,68.93,0,6.66,0
108.07,10.93,1962.48,89.51,6,23.12,1
292.98,10.48,2077.28,88.01,8,8.8,1
213.74,7.19,5111.35,37.44,7,39.34,1
104.03,24.36,3626.15,31.26,8,27.59,1
299.99,59.47,5220.68,95.42,3,15.17,0
197.08,9.83,2411.04,96.45,9,87.27,1
127.94,22.18,3526.84,50.43,2,20.68,1
162.41,49.01,4812.94,37.81,11,89.86,0
231.01,41.09,3324.22,24.22,1,55.73,0
35.52,22.47,4898.19,75.44,12,31.87,1
223.68,50.19,3684.24,76.45,2,77.91,1
55.42,46.93,3559.91,34.02,9,61.24,1
23.84,47.89,1170.43,86.15,7,71.2,1
255.64,32.03,1187.56,27.39,0,40.86,0
66.77,41.92,1514.17,28.41,2,92.71,0
260.14,31.95,2124.48,51.18,3,42.76,0
216.06,26.68,5195.7,61.47,8,52.52,0
236.08,33.64,2758.05,84.43,0,87.78,0
11.78,26.31,4325.8,96.63,3,29.12,1
91.37,50.52,2806.74,48.02,9,91.9,1
193.83,9.97,3003.29,26.18,9,93.78,0
40.59,27.75,2754.43,26.1,9,89.66,1
97.22,40.67,4057.35,24.76,11,12.35,1
134.82,24.96,3119.09,44.57,12,97.52,1
13.17,14.4,2175.97,88.42,2,16.21,1
230.75,7.82,2040.31,75.71,7,28.88,0
1.06,47.1,561.04,54.79,7,54.35,1
264.81,18.08,3444.31,52.81,6,44.19,0
83.43,39.57,4600.61,28.69,2,14.83,0
11.02,51.96,3834.98,85.42,4,33.11,0
48.4,20.64,3804.62,72.99,9,78.73,1
136.6,36.84,5157.4,18.38,4,32.28,0
252.99,8.57,2854.08,20.98,4,32.92,1
62.95,16.5,790.92,61.42,10,52.89,1
236.46,43.87,2635.27,86.3,4,52.54,0
106.16,12.13,3313.17,56.77,10,49.77,1
87.15,15.65,1091.04,51.84,12,11.79,0
239.87,59.94,2570.21,40.04,8,80.6,1
76.33,8.73,2001.42,59.5,12,0.61,0
102.41,44.84,3579.97,12.62,2,19.4,1
142.35,6.96,1178.77,23.98,7,89.21,0
100.53,48.12,2569.77,76.83,8,29.93,1
62.48,42.7,4497.68,89.92,5,6.62,1
252.22,23.65,2376.2,58.08,2,57.1,0
225.46,43.79,2072.5,12.85,6,8.68,0
111.48,50.62,2013.14,57.26,2,11.22,0
133.13,6.37,2913.32,55.0,3,34.01,0
262.16,22.07,2136.69,79.25,1,82.21,1
217.37,30.27,4068.39,57.01,0,31.1,1
254.44,52.95,2166.45,90.03,1,52.06,1
93.64,54.07,2104.4,27.33,4,53.23,0
201.34,20.0,1287.48,20.3,9,55.96,1
81.32,56.88,4520.01,61.67,2,7.12,0
101.62,29.4,1150.37,52.37,10,5.05,1
211.4,54.02,3647.35,72.11,7,61.63,1
245.23,44.21,3854.35,58.01,12,76.44,0
209.58,10.35,2051.96,68.0,12,46.54,1
67.14,52.36,3584.71,92.16,6,18.34,0
97.43,31.81,826.83,20.16,7,46.12,1
230.38,38.24,1136.97,19.26,11,79.68,0
159.82,27.04,2567.21,65.88,8,15.9,1
19.82,16.45,3970.3,48.8,6,56.72,1
200.88,45.67,4059.54,85.31,1,59.22,1
166.53,50.21,1380.87,96.03,1,59.83,0
98.22,40.47,807.41,29.59,2,88.73,0
190.84,5.01,1233.63,23.43,8,29.15,1
263.23,21.49,4471.73,71.16,6,71.78,0
297.09,37.05,3557.45,55.94,2,85.25,0
0.25,35.8,5393.48,19.87,4,86.57,1
210.67,26.68,2090.64,44.45,6,43.52,1
166.63,51.38,2301.44,47.55,4,99.75,0
40.28,8.95,578.54,74.92,7,65.79,1
241.78,52.31,4967.91,72.59,6,62.32,1
127.24,50.1,2423.57,30.32,6,60.46,1
150.52,27.6,3230.83,43.03,0,56.81,0
33.95,31.48,3952.49,22.79,11,52.64,1
155.08,33.78,3550.35,32.07,10,74.17,0
23.42,39.85,4490.49,38.12,0,90.36,1
271.82,36.57,2157.57,41.76,12,29.46,1
208.52,37.87,2020.35,80.65,4,6.14,1
297.11,49.49,3621.59,35.81,1,12.68,1
235.13,18.86,3578.99,34.77,4,1.42,0
45.34,29.57,4539.2,33.51,11,23.62,1
158.22,6.82,5420.36,97.06,9,93.39,0
231.11,18.09,2700.93,67.38,3,57.78,0
16.3,19.54,4597.66,14.73,7,39.87,0
159.76,25.89,4028.04,52.71,2,53.04,1
86.64,48.85,2410.02,38.41,8,68.29,1
286.86,28.75,5090.21,87.25,5,27.03,0
76.6,37.13,2805.54,70.78,3,73.43,1
207.08,14.9,3238.06,70.55,1,1.2,1
31.17,29.53,1597.08,35.5,3,3.4,0
268.19,16.93,3496.92,20.96,1,8.64,0
112.79,47.01,3739.53,82.29,2,89.6,1
280.85,40.13,5113.48,34.87,6,69.22,0
231.04,19.15,4403.66,34.96,0,38.28,0
79.4,29.23,2958.61,93.57,9,39.26,0
32.53,34.73,2656.27,65.26,1,91.26,1
171.4,18.78,2729.41,90.69,2,65.29,1
11.35,26.48,1258.04,39.68,6,57.46,0
130.82,51.42,4404.69,80.68,8,22.58,1
206.78,47.89,1106.02,58.18,5,33.34,0
194.12,25.09,4766.71,40.61,7,76.05,1
60.94,35.5,5337.56,69.47,4,69.59,1
25.46,39.8,4176.62,22.59,3,2.54,0
71.55,26.38,4463.7,67.91,7,53.39,0
11.11,8.08,4438.89,13.85,1,21.17,0
156.94,56.7,4851.0,58.29,11,57.93,1
196.15,30.92,5090.1,14.12,11,64.88,1
189.8,54.76,4603.7,18.76,9,17.07,1
149.14,48.95,1602.86,82.4,6,33.73,0
221.38,27.11,1104.01,71.57,8,13.73,0
177.93,23.45,1103.73,22.71,6,16.81,1
49.5,18.4,3409.93,22.0,12,84.74,1
146.09,5.35,1397.06,18.02,10,59.37,1
208.05,48.57,2880.06,21.42,2,63.98,0
183.16,7.07,1400.0,54.99,1,62.72,0
104.36,5.25,1678.2,20.58,8,97.68,0
152.26,30.53,3632.32,28.73,0,19.37,0
205.57,58.27,2872.06,25.87,10,92.27,1
75.41,38.93,4950.4,50.78,1,74.04,0
52.77,48.2,2925.31,20.45,3,72.14,1
203.06,22.91,4394.88,39.35,1,23.71,1
59.99,54.03,867.65,62.66,0,89.05,1
116.2,12.5,4099.11,66.88,4,20.22,1
207.66,8.28,1182.51,86.65,7,41.82,1
47.04,48.7,5263.8,91.5,9,97.01,0
25.94,52.13,2946.07,99.61,9,47.35,1
261.78,18.63,2671.24,30.02,9,94.63,0
269.48,27.98,721.12,99.21,11,76.86,1
239.41,50.17,2762.21,31.65,8,75.31,1
121.99,16.99,2292.03,31.52,1,1.59,0
171.11,37.1,5382.1,51.74,2,87.42,1
236.96,25.37,2821.48,67.01,10,7.07,1
127.77,19.84,5230.48,58.82,12,20.71,0
186.14,23.46,5161.22,56.33,10,36.4,1
12.26,25.15,3740.86,73.44,8,70.93,1
294.38,18.12,1067.79,53.06,12,58.01,0
67.63,24.4,1836.79,71.22,4,5.45,1
135.72,32.58,4647.8,52.31,8,67.83,0
239.97,57.0,4543.98,94.68,1,18.84,0
26.19,26.49,1394.06,96.24,1,10.94,0
262.5,33.64,3636.38,36.39,10,54.14,1
104.01,29.41,3723.42,36.24,1,2.2,0
100.76,36.83,3778.8,80.81,7,59.34,0
252.57,29.49,2020.41,21.88,12,30.65,1
86.44,51.5,1241.69,35.59,2,61.86,1
160.6,15.03,1376.8,73.73,10,79.45,0
172.36,29.25,2348.36,28.46,11,3.47,1
103.15,25.51,3199.33,24.63,4,12.15,0
284.34,56.03,1280.27,97.31,8,97.56,1
211.64,31.07,1949.14,94.96,9,66.69,0
101.61,11.18,2894.91,13.61,10,55.1,1
120.49,51.25,2729.86,18.32,0,60.82,0
230.13,15.76,917.95,86.45,10,67.16,1
153.54,15.69,2088.79,64.46,0,90.84,0
110.89,25.51,1923.25,41.62,7,87.43,1
218.36,29.43,5462.99,82.33,4,16.38,0
124.26,50.95,3489.68,22.93,4,47.46,0
295.99,8.64,5300.48,78.05,1,0.66,1
138.64,36.24,5074.36,27.93,6,28.95,1
246.84,21.61,3426.04,54.47,11,46.35,1
286.81,50.88,2862.71,68.84,4,41.72,1
206.35,18.46,1096.77,34.95,1,59.89,1
77.37,42.73,5371.29,83.65,5,51.25,1
253.58,13.96,792.55,38.77,11,13.55,1
273.63,24.58,1949.28,57.67,1,51.39,0
54.97,10.2,4263.14,58.93,5,82.68,0
206.5,10.27,3400.23,84.1,0,13.69,1
233.64,27.66,5104.54,24.67,3,15.46,0
184.03,50.73,3128.26,57.89,8,70.23,0
125.2,55.38,1082.83,21.81,0,47.95,0
266.92,37.87,4317.95,40.78,11,30.47,0
35.58,12.08,3971.22,71.92,4,12.53,0
235.21,9.28,4373.46,78.16,0,19.64,1
197.94,37.62,2845.41,91.77,0,6.62,0
276.03,16.3,5005.87,26.63,5,2.93,1
223.86,20.26,3398.76,41.7,8,78.08,1
245.88,46.98,3144.19,74.42,4,17.18,0
1.3,44.89,5121.16,92.84,11,47.47,0
32.2,50.91,5406.51,48.17,8,22.76,1
295.38,11.8,1051.58,22.23,12,36.13,1
148.11,26.16,2784.73,76.26,10,97.62,1
166.17,20.98,4776.83,26.99,1,89.48,1
3.84,42.08,3860.48,45.67,8,65.85,1
43.01,27.03,3452.79,19.15,2,6.47,0
297.2,11.75,4690.55,75.27,4,76.48,0
178.09,46.6,4504.92,94.89,5,47.58,1
83.67,47.24,1040.18,32.56,7,23.08,0
8.92,45.58,4651.56,54.83,0,97.21,1
186.59,10.3,882.59,77.64,12,49.22,1
88.07,32.38,3023.97,58.82,12,85.97,1
129.12,55.32,2418.15,38.31,6,44.26,1
53.06,41.27,4396.91,89.62,2,49.15,1
32.81,42.13,3800.39,71.68,9,46.98,1
46.89,8.07,1816.95,63.19,6,61.69,1
8.44,7.48,4684.67,41.4,11,58.4,0
187.55,25.93,2640.74,99.28,6,35.13,0
177.76,55.07,827.5,37.44,5,16.98,1
11.21,41.18,2612.37,56.33,6,26.66,0
113.32,26.47,3362.69,82.75,1,69.09,1
149.02,49.63,3836.94,25.0,4,36.33,0
236.14,51.22,3179.17,35.86,0,29.73,1
241.38,39.35,5289.71,74.59,9,9.47,0
142.58,16.54,4478.26,68.64,4,50.46,1
199.04,22.23,2571.57,32.61,8,45.32,1
211.0,52.45,3384.22,29.17,11,93.81,1
191.38,49.49,4763.87,91.62,9,72.66,1
72.11,46.05,4327.65,85.97,6,31.87,0
19.33,16.2,2562.19,84.13,10,16.06,1
44.99,6.52,4485.22,37.95,7,55.98,0
194.08,7.04,1296.79,22.28,4,78.97,0
12.67,44.74,4411.17,14.98,1,31.39,1
19.07,57.53,4983.87,70.45,1,39.69,1
171.29,32.51,1103.21,69.78,9,94.97,0
75.54,53.65,1690.38,21.0,12,31.34,0
223.19,56.45,1590.04,19.61,3,96.99,1
76.29,37.42,2951.79,43.72,1,31.65,0
263.83,56.53,2314.99,74.41,4,2.11,0
181.74,51.28,3811.12,94.68,11,91.75,1
191.68,43.53,5015.79,71.67,8,86.7,0
116.54,55.04,2464.88,98.02,4,30.09,1
257.83,13.81,2694.23,38.55,12,76.67,1
10.16,52.65,4615.99,94.64,7,73.69,1
275.56,10.52,1301.72,33.49,1,35.19,0
244.03,45.58,2766.31,12.46,0,64.14,0
0.92,16.0,2027.74,61.82,1,15.78,0
290.9,50.68,4315.81,86.23,10,41.03,0
40.05,14.54,3465.1,39.48,4,19.87,1
54.57,53.2,5223.79,89.59,3,2.07,1
68.61,9.89,2812.12,33.56,2,4.98,0
180.12,13.21,5290.16,25.31,9,11.74,0
136.11,42.05,1092.56,74.22,3,94.61,0
79.86,46.05,2410.37,48.82,3,60.01,0
125.5,27.47,1229.71,36.12,4,23.55,1
74.5,37.06,3736.18,17.72,7,13.32,0
214.0,43.96,4180.52,33.06,1,55.7,1
279.32,30.9,2271.51,64.57,10,96.72,1
76.1,39.08,2012.54,45.52,5,13.22,0
12.34,14.87,1349.33,54.36,5,87.79,0
42.54,11.43,720.81,21.51,4,74.78,0
84.88,53.23,3564.66,78.54,4,51.7,0
147.38,57.25,3278.37,93.06,10,79.82,1
44.59,17.64,679.31,33.42,11,46.71,1
132.46,59.39,3304.27,51.2,1,84.58,0
37.1,10.15,4840.87,26.26,2,74.99,0
63.72,59.89,520.63,79.02,2,41.64,1
230.48,42.23,4936.84,12.34,10,98.13,0
31.82,22.79,644.37,51.42,11,65.95,1
286.56,37.68,529.03,97.28,10,62.24,0
272.06,48.84,1146.6,87.7,12,64.36,1
16.66,8.89,5259.5,44.33,6,25.52,1
6.15,16.45,2442.51,46.22,10,75.26,0
36.18,32.0,2661.79,82.57,4,90.37,1
110.24,15.99,2727.21,44.93,4,56.31,1
226.95,49.6,3569.34,49.07,6,9.29,0
194.28,44.25,5153.34,57.46,10,52.47,1
131.21,54.9,2888.06,23.37,2,68.43,1
170.56,35.3,5086.51,56.21,8,42.49,1
198.26,36.27,1766.9,32.94,1,76.86,1
235.85,51.36,726.29,47.46,11,29.76,1
136.5,41.86,3619.05,33.86,12,18.72,1
261.48,10.85,3171.88,10.53,1,1.33,0
138.05,27.28,3788.59,76.98,11,48.67,1
202.14,42.97,2474.99,37.24,2,13.51,1
244.79,43.28,1441.11,12.41,7,64.86,0
237.0,15.5,2004.59,51.71,7,42.19,1
270.72,45.63,2726.33,53.65,0,85.98,1
250.15,7.8,539.37,66.74,11,43.18,1
148.71,36.83,4155.39,99.91,0,48.75,0
203.6,49.92,2939.51,74.29,8,1.9,1
165.98,19.73,3741.5,90.02,1,49.48,0
6.24,20.84,1461.01,40.95,3,50.76,0
205.49,55.7,4767.27,74.37,7,13.12,0
249.92,42.02,4172.92,81.64,12,97.09,1
62.16,42.99,930.96,53.46,2,19.95,1
298.13,21.7,1547.16,14.23,0,35.88,1
203.08,14.61,4797.31,55.31,12,6.37,1
67.23,19.18,2201.62,41.97,0,77.01,0
268.9,51.94,4868.48,64.39,1,70.64,1
252.48,11.1,1029.46,64.95,12,85.84,1
168.74,32.9,1335.23,20.63,3,91.1,1
151.77,45.29,996.47,68.24,5,81.92,1
60.57,58.33,4346.1,10.59,12,47.37,1
214.56,27.83,3647.2,32.09,12,75.35,1
68.45,49.1,2567.05,46.84,7,95.18,0
132.77,47.36,4088.13,56.56,1,8.48,1
294.58,14.04,807.34,78.33,10,92.25,0
294.01,48.95,4879.07,97.54,6,40.2,1
166.08,21.74,4213.49,91.83,0,82.7,1
121.18,40.41,4937.9,66.19,9,65.2,0
266.3,47.99,2522.53,27.76,4,8.43,0
263.96,33.63,3203.95,29.24,8,55.18,1
227.11,13.8,639.46,81.69,9,25.87,1
151.58,45.26,4707.92,33.38,8,35.45,1
195.29,11.86,1989.81,76.32,7,33.9,1
214.39,56.56,3827.6,86.0,3,35.03,1
235.44,44.32,3862.17,74.29,8,73.75,1
233.56,29.99,1232.77,48.31,6,8.19,1
266.55,31.19,2730.82,43.24,8,40.28,0
175.29,40.01,5482.56,72.01,7,73.17,1
48.85,32.82,2923.82,51.19,11,51.32,1
9.78,13.63,3295.13,92.95,1,60.16,1
36.26,36.45,701.41,23.8,5,30.49,1
42.86,48.11,2608.78,94.31,4,88.91,1
245.74,31.88,1111.64,41.38,0,41.76,0
234.4,31.14,4100.17,64.51,12,13.85,1
228.5,41.7,1244.91,75.51,1,79.98,1
118.62,34.75,5290.4,90.1,11,27.74,1
49.68,6.36,3650.55,79.44,4,56.1,1
185.61,36.73,764.37,61.32,3,75.06,1
5.6,41.2,3159.3,96.61,4,78.68,0
133.27,49.38,3534.27,46.16,0,49.15,0
101.99,14.93,620.28,57.51,6,25.72,1
43.21,19.06,948.14,37.61,6,67.86,1
288.34,14.98,4066.5,36.82,1,32.0,1
248.32,11.65,1512.8,77.69,9,23.65,1
151.33,57.21,1846.44,38.65,8,40.71,1
265.85,19.8,5317.37,70.76,3,76.3,0
37.67,36.25,2729.91,86.17,8,20.35,0
234.61,34.56,2618.76,92.03,7,4.18,0
288.33,39.14,3765.29,25.06,0,93.35,0
114.05,24.33,3661.03,62.66,8,28.13,1
160.23,8.85,948.58,72.86,2,72.51,1
151.45,49.11,4919.66,95.09,10,26.14,0
135.82,18.53,5415.11,40.75,7,95.9,1
276.68,38.48,521.4,10.86,2,41.32,0
210.99,46.94,3190.66,80.86,10,65.13,0
133.55,11.79,5360.2,43.87,9,35.8,1
230.39,43.34,542.16,51.64,3,44.46,1
276.42,24.68,949.83,65.21,4,80.84,1
294.04,58.2,683.98,54.36,11,70.7,0
118.83,52.85,3345.51,54.46,8,19.38,0
201.65,38.16,1377.64,62.93,11,6.5,1
156.92,48.02,1459.26,71.02,11,67.77,1
204.2,53.57,509.77,48.44,10,94.31,1
298.53,20.07,3900.87,51.99,5,51.73,1
216.37,7.58,5091.96,57.92,5,0.52,0
7.61,45.56,5390.48,48.14,1,91.7,1
98.77,8.46,3626.47,12.51,6,80.81,1
75.12,10.93,1691.8,40.67,0,82.16,0
71.02,9.01,3499.82,49.47,1,62.53,1
10.0,22.23,4738.46,15.85,2,6.2,0
16.44,38.59,2659.19,19.16,0,55.93,1
225.59,17.82,3497.88,69.38,0,45.34,1
128.43,39.11,1006.39,68.58,10,78.29,1
30.81,37.73,837.72,81.05,3,90.44,1
152.67,24.55,2907.0,65.88,2,24.32,1
130.75,57.79,4271.87,38.01,8,77.55,1
92.6,23.86,2344.15,10.73,9,65.77,0
167.83,8.0,2219.08,97.89,10,90.85,0
102.47,41.73,3973.91,98.37,9,69.24,1
89.89,23.07,1024.24,88.85,0,49.59,0
191.63,43.13,2832.68,29.18,7,73.46,0
61.59,15.13,5449.39,42.65,1,35.79,0
42.72,29.22,3656.67,92.14,5,4.39,1
265.61,44.54,2199.09,59.91,2,19.6,1
78.54,10.57,4657.23,22.35,10,78.74,1
72.04,49.52,3804.54,94.7,12,99.77,0
263.52,8.6,1222.16,93.17,12,18.96,1
128.86,39.99,5105.07,78.68,9,18.91,1
236.88,23.02,766.29,81.61,2,85.15,1
24.42,30.89,3817.51,15.84,8,38.81,0
225.34,25.58,3094.46,26.11,11,37.39,1
80.5,27.05,5105.93,62.56,0,20.72,0
135.62,17.89,1592.97,48.25,6,57.14,1
40.3,9.62,2722.53,41.64,9,4.11,0
100.91,29.81,2662.53,43.08,7,31.7,1
193.61,24.75,912.09,85.83,8,54.67,1
82.93,17.53,1092.94,42.42,8,20.03,1
244.67,42.59,1872.32,73.51,2,99.84,0
221.95,55.18,542.67,36.95,5,78.31,1
196.59,30.96,3063.23,78.5,2,86.55,1
217.0,16.54,1668.62,62.83,8,75.76,0
93.92,15.33,4350.66,72.81,3,43.87,0
9.03,12.64,4868.75,37.5,11,0.97,1
125.74,42.72,2516.84,80.08,8,29.96,0
170.27,6.77,1195.67,97.95,5,56.82,1
117.27,25.97,5243.46,15.73,6,18.83,1
170.85,29.83,4973.72,18.39,1,67.49,0
8.05,15.94,5056.73,44.73,3,23.3,0
20.99,8.16,3092.66,25.46,6,39.11,1
222.94,26.39,5017.94,28.58,3,30.98,0
199.44,13.73,3375.46,37.93,3,50.25,1
42.81,8.52,2496.18,82.68,8,32.89,0
147.29,30.45,695.42,18.2,10,88.1,0
89.23,38.72,4549.92,25.76,3,17.96,0
129.62,26.16,3795.4,72.87,1,39.36,0
82.13,39.54,1959.45,92.47,11,72.65,0
272.62,27.62,4309.3,20.91,5,7.65,1
135.28,18.9,3030.32,51.6,1,63.89,0
138.57,23.9,2496.71,27.5,0,1.07,1
224.6,31.66,841.19,59.36,3,71.36,1
141.24,20.35,1306.83,85.46,9,10.05,1
23.28,47.0,3886.92,23.81,5,17.79,0
267.81,34.28,2710.29,14.3,10,81.15,0
117.19,21.96,762.08,10.42,12,37.74,1
74.91,54.98,1499.93,11.44,0,98.93,0
66.17,53.53,4484.62,84.74,2,72.4,1
153.75,49.86,2113.4,66.41,9,20.71,1
64.13,24.61,1368.11,46.19,5,1.2,1
66.03,41.19,1892.29,66.15,0,6.73,0
294.93,10.6,3180.91,99.15,9,17.15,0
179.96,58.98,3981.58,71.01,12,69.37,0
95.39,51.84,2910.65,40.16,9,91.21,1
153.31,45.8,3017.1,73.42,0,23.26,1
221.37,46.65,3598.83,15.39,5,49.87,1
112.72,40.31,1690.32,75.28,7,73.93,0
228.15,33.65,5387.84,68.32,4,75.06,1
219.86,23.85,1529.09,14.87,10,98.84,1
261.81,33.68,1417.73,66.68,1,86.99,1
57.74,39.89,1207.66,28.38,1,17.37,1
152.23,28.44,2835.37,24.77,3,24.49,1
74.69,20.69,2741.36,67.2,4,86.24,1
113.32,30.89,2613.49,64.85,6,76.03,0
238.07,6.09,2407.1,86.86,12,90.65,1
52.71,25.92,2029.24,35.49,8,60.6,1
41.0,30.81,1273.62,27.07,0,86.17,1
124.75,26.71,4210.97,44.56,4,64.1,0
122.64,7.14,5108.02,44.63,9,16.24,0
225.47,24.17,4045.64,67.15,5,69.65,0
277.96,45.46,1711.76,13.11,5,63.1,0
78.4,30.05,3905.33,32.89,9,57.83,0
48.43,11.42,961.53,74.04,6,39.77,0
56.65,28.26,4648.75,32.76,4,50.06,0
266.0,37.23,4169.67,77.72,11,86.94,0
244.27,19.8,1547.63,77.35,11,30.81,0
244.92,5.09,849.21,72.67,8,41.68,1
55.92,12.39,2932.36,55.24,1,45.07,0
55.69,8.24,1413.65,78.32,4,98.29,0
32.76,40.0,899.05,17.71,1,27.68,1
175.69,31.28,3864.02,19.07,0,26.61,0
12.56,16.61,4458.93,43.81,8,98.69,0
279.64,31.03,2185.15,48.65,5,68.19,1
108.36,26.92,3554.05,97.78,5,80.63,1
261.16,27.1,4677.11,93.25,0,60.19,0
244.52,25.26,3591.76,69.3,7,51.49,0
0.94,40.09,5209.69,39.0,10,36.02,1
133.29,38.37,2500.83,65.13,1,34.83,0
282.44,31.19,3791.7,72.95,1,73.43,1
156.02,36.45,4784.01,55.42,2,49.79,1
249.71,59.8,5436.1,52.01,7,95.51,1
51.13,56.93,3999.55,19.49,11,2.92,0
97.95,26.09,1901.79,74.73,10,47.63,1
160.36,44.9,952.21,72.26,3,93.18,0
180.2,40.42,2385.05,74.57,11,72.5,0
131.09,17.84,1795.47,36.19,1,8.91,0
281.16,45.95,1080.53,43.1,5,95.41,1
160.68,51.59,5399.25,38.77,5,79.75,0
37.89,41.51,3453.88,19.59,0,53.83,0
251.16,32.49,2778.92,64.13,2,74.71,0
248.33,6.89,2100.7,55.21,11,12.35,1
248.61,32.23,4020.7,43.9,12,33.31,0
63.18,45.3,4552.09,73.04,0,92.32,0
89.73,49.83,5061.88,24.33,0,54.79,1
203.37,59.47,4288.57,45.2,8,72.68,0
164.4,10.35,2117.09,81.21,12,5.41,0
91.22,41.0,3385.79,49.77,7,29.11,0
220.6,5.5,4129.79,61.81,10,78.55,0
112.97,59.05,3897.23,25.14,0,9.6,1
294.08,40.76,3466.96,97.28,10,72.26,1
35.64,26.82,2013.45,63.65,2,65.28,0
197.56,47.78,4824.48,68.53,4,63.23,1
3.48,11.41,1110.26,67.73,8,22.49,0
208.12,10.2,3464.4,44.56,10,70.27,1
37.57,22.89,4068.84,87.6,8,18.49,1
160.93,49.67,2942.82,56.7,9,53.9,0
195.51,46.44,1537.32,69.27,1,18.07,1
240.15,11.77,1144.08,28.56,2,8.78,1
225.92,9.65,1123.59,36.87,8,17.16,1
13.85,57.02,5023.1,36.41,8,44.49,0
208.53,33.75,5430.1,41.69,8,51.06,1
11.02,12.79,4780.43,29.37,2,60.21,1
107.72,12.07,3611.56,16.69,4,26.07,0
283.42,42.21,5201.0,22.89,3,7.06,0
298.61,43.32,1463.14,43.49,10,64.78,0
94.91,48.33,2394.71,96.76,3,7.75,1
33.0,35.16,829.8,67.62,5,90.92,0
82.09,10.39,5397.43,30.0,1,78.27,1
157.94,53.15,3444.14,82.61,1,52.9,1
182.24,54.31,1353.74,95.19,6,18.07,0
203.34,48.38,3258.36,89.38,6,47.69,1
46.65,11.95,2394.0,76.19,0,91.84,0
111.05,47.76,3891.08,47.64,7,18.31,1
82.75,28.53,5208.39,89.32,3,30.52,0
284.24,27.36,2063.68,18.11,1,7.67,0
25.38,20.72,5147.95,82.75,0,96.22,1
152.6,45.19,2898.28,56.35,10,88.81,1
273.27,46.03,4070.8,73.23,11,34.51,0
198.35,55.63,5495.84,95.04,10,60.92,0
264.58,33.79,1625.34,16.76,2,51.37,0
126.82,25.85,2366.42,20.19,10,24.98,1
89.75,21.14,1565.33,76.42,9,39.36,0
278.73,57.75,3077.65,90.41,7,89.25,1
138.11,21.41,1035.82,41.47,11,18.62,1
